loan_index,present_value_yearly_default_classification
186,578653.4194069651
187,803568.0938906546
188,441606.59562274435
189,725538.0398016041
190,220416.84071678706
191,132399.23978687002
192,607579.9103543926
193,1341465.773414995
194,1196669.200396329
195,829369.2450965239
196,233414.764562706
197,719052.9858324045
198,209683.7907741358
199,583976.1272388732
200,636708.6395428093
201,483970.7507667018
202,748567.6187203398
203,891401.2391697533
204,291723.4898462338
205,759039.9617107222
206,459436.250207499
207,573132.7531483991
208,1625683.9031677337
209,1039086.920538261
210,213106.12869621505
211,282529.03856415447
212,292698.3709538663
213,345857.96511199634
214,473764.01547888666
215,273787.23594092805
216,295123.4380680656
217,490556.1129875456
218,705918.5752966865
219,366283.9758388281
220,400506.69370085135
221,670669.5737898621
222,168468.8922554523
223,423254.3460189478
224,347136.47065845964
225,418597.60143551946
226,1234642.8500078595
227,348658.8424458436
228,307638.53948814765
229,746631.5253714276
230,305805.3984572466
231,421256.86837331706
232,664399.6397811386
233,322629.0710035116
234,932219.6409194495
235,332396.9790423861
236,320546.27637041983
237,630100.5241289033
238,514496.01890540903
239,250489.44286370277
240,737822.9701789201
241,634344.1294111551
242,889227.2005747355
243,169077.68880975194
244,498689.4384856544
245,1056153.3680654836
246,866804.7190878604
247,482404.16985946696
248,172616.03532107838
249,227095.66217710532
250,616314.1697338367
251,465853.39260988106
252,450617.3720491647
253,1226268.8000232389
254,439106.74177001655
255,667908.2223765742
256,485118.18593183946
257,213148.12065117646
258,293332.58206810517
259,856678.7841428621
260,236767.8608118181
261,272832.7714837231
262,312625.31670956645
263,140969.0134083043
264,150058.0698193085
265,970440.4030575542
266,921235.389609474
267,150749.68778731744
268,1172934.939325862
269,385125.47786236455
270,404875.8888419508
271,428854.3533123292
272,468646.7964907166
273,742318.5507354568
274,332120.9698627941
275,474683.51280335226
276,985912.3984104646
277,553855.1036010577
278,362423.26758218586
279,774832.8517867887
280,540404.1483856511
281,713040.1322390722
282,1048198.6981127154
283,688201.9977071811
284,304586.4017618809
285,365394.2101037351
286,391972.742049285
287,1644603.1232940673
288,875031.0352746267
289,647172.8658082577
290,422292.74177613365
291,541494.4812967079
292,376824.88230268133
293,425877.5243563309
294,638961.8152377423
295,709125.7936391464
296,352774.93513239466
297,542584.0257735748
298,1004439.467267792
299,476786.66605781956
300,156790.01573490468
301,668065.5671411202
302,436507.4761183238
303,571363.0682541254
304,517841.72165099066
305,1386170.5766883236
306,475524.50120506424
307,882713.1319502201
308,354226.25749028055
309,1020629.5640885731
310,488957.91545921436
311,522544.9053998171
312,176157.0910658092
313,1018279.2188465183
314,420113.3156139441
315,1888649.0455443
316,750569.3629789794
317,485883.1954153927
318,1126749.4429296886
319,556696.3077998644
320,438122.87757067854
321,309182.0705587359
322,368474.726908969
323,775061.6537415124
324,1010572.1458158632
325,241036.88718849095
326,632159.9813860377
327,757710.8137974855
328,385451.2196024692
329,800843.581333074
330,258839.5688567445
331,149993.33094017892
332,161900.93168108535
333,507887.9364223806
334,721438.2864205495
335,979004.2542156915
336,705894.8833874542
337,470577.8576565816
338,416942.03473857074
339,556903.3749339512
340,235872.8971268612
341,738279.2715456686
342,980428.808918342
343,940223.9621958389
344,580957.6209658844
345,117573.62718828605
346,302524.40176898555
347,1054768.0327085988
348,675686.9588193956
349,950539.5221153672
350,912477.194538843
351,420126.41317345185
352,375572.81150385796
353,530205.028277441
354,629897.2374250536
355,164698.52831548362
356,291176.7936296024
357,342310.85691470705
358,556985.5196107285
359,770469.6616406832
360,921536.3896105629
361,539479.389582093
362,668772.6378565067
363,266023.7681863385
364,409787.96887035086
365,191159.05126671784
366,502039.9582937204
367,458559.034500169
368,185078.26527743318
369,279856.6730696741
370,625679.5353723638
371,258821.78907975214
372,800237.3377838535
373,555133.4404875297
374,228785.40182613363
375,541362.5657326828
376,828812.3107424821
377,324864.59493723675
378,268747.65180482616
379,404930.7933291592
380,451998.71600104606
381,440252.0337240658
382,848835.1073168303
383,424719.7715085063
384,151257.6185298153
385,529482.082507113
386,446849.7159183185
387,260828.85414245975
388,222823.6059229319
389,458581.22408829315
390,401755.0616735548
391,605961.7604036531
392,405792.2642693614
393,304645.92879674234
394,636839.4040628339
395,596541.7817547258
396,638907.4525327166
397,141002.84479991213
398,448716.9550376707
399,819267.9200891671
400,600509.1092553373
401,365215.54712159233
402,797078.3568929423
403,543796.9727859078
404,528764.3808714218
405,500030.4419593344
406,567151.0141342349
407,229724.03802241565
408,414663.48978253326
409,498716.11735880177
410,756866.9958482552
411,1105098.571573803
412,511514.0263616954
413,274491.4682031226
414,859800.3949959214
415,836215.2371338807
416,1217947.1594282018
417,490506.81843468075
418,968137.5732838545
419,315113.85611807293
420,617487.2975948576
421,447785.71132787137
422,497005.49731070735
423,963150.1745510069
424,1036510.6873811112
425,608630.0785345441
